id,codigo_compania
8,ADC
15,EAL
59,LAM
25,EAL
59,KAI
59,KEA
25,UCA
59,QAF
8,LRC
0,UCA
25,ADC
8,MPH
37,LAW
25,BTA
25,KAI
15,LRC
17,EAL
23,MPH
17,MPH
17,ETA
8,IBE
23,LRC
10,MPH
59,COG
59,BTA
15,IBE
31,ETA
8,LUD
37,BTA
23,LAW
8,ETA
0,IBE
8,XLE
8,LAT
21,COG
34,QAF
10,ETA
59,UAN
38,EAL
41,KEA
7,AZI
8,LAM
37,LAT
23,NCY
8,UCA
7,ADC
0,NCY
31,XLE
34,AZI
21,ADC
59,NCY
7,NCY
59,LAW
25,XLE
37,KEA
59,AZI
34,LAM
21,KAI
17,COG
24,ETA
7,KAI
24,IBE
0,AZI
21,IBE
31,LAW
41,LUD
9,BTA
9,UAN
59,EAL
21,XLE
31,ADC
38,LUD
38,UAN
34,COG
7,BTA
54,KAI
10,IBE
10,LAM
37,COG
54,AZI
0,LRC
15,LAM
24,KEA
24,XLE
34,UAN
54,KEA
34,LUD
17,LAT
31,NCY
24,UCA
41,IBE
37,QAF
9,MPH
9,QAF
15,LAT
54,LAT
41,ETA
