id,vuelo_id
8,41
15,77
59,129
25,103
59,126
59,59
25,147
59,57
0,143
25,8
8,6
37,67
25,112
25,125
8,88
17,134
59,73
23,48
8,64
23,130
10,0
59,4
25,119
59,52
15,131
31,14
37,83
23,82
17,90
59,3
8,87
0,19
8,55
8,132
8,76
59,29
21,111
59,9
34,121
37,81
8,60
59,140
8,142
38,45
41,114
8,80
8,100
7,133
8,107
23,110
59,86
25,141
7,136
31,26
34,102
59,35
59,117
0,40
21,56
59,101
25,94
59,99
37,91
0,23
21,53
0,22
59,15
0,122
31,17
25,127
21,124
23,118
59,20
8,144
34,30
37,2
24,95
7,28
24,63
0,62
34,109
25,138
59,123
21,32
31,69
41,34
9,31
9,65
38,5
38,74
23,44
7,71
7,54
31,37
54,137
25,21
25,148
34,50
41,104
31,135
59,1
31,16
10,92
10,66
17,89
37,79
34,106
21,36
25,38
54,43
21,139
54,11
21,98
10,12
25,58
21,84
37,27
24,7
34,108
31,18
54,115
24,25
7,51
0,116
37,105
7,128
17,47
0,75
24,85
7,61
23,96
24,93
41,10
24,146
0,72
0,70
0,145
54,113
0,78
31,39
23,24
0,49
31,97
17,120
9,33
7,13
37,68
9,42
0,46
